Agency,Stage_of_Rulemaking,Title,RIN,Link
PBGC,Final Rule Stage,"Miscellaneous Corrections, Clarifications, and Improvements",1212-AB34,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AB34
PBGC,Final Rule Stage,Methods for Computing Withdrawal Liability,1212-AB36,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AB36
PBGC,Final Rule Stage,Adjustment of Civil Penalties,1212-AB45,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AB45
PBGC,Final Rule Stage,Privacy Act Regulation; Exemption for Insider Threat Program Records,1212-AB48,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=1212-AB48
PRESIDIO,Proposed Rule Stage,First Amendment Activities,3212-AA12,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3212-AA12
PRESIDIO,Proposed Rule Stage,Indemnification of Presidio Trust Directors and Employees,3212-AA13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3212-AA13
PCLOB,Final Rule Stage,Revised Organization and Delegation of Powers and Duties,0311-AA05,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0311-AA05
SEC,Prerule Stage,Portfolio Margining Harmonization,3235-AM64,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM64
SEC,Proposed Rule Stage,Amendments to Certain Provisions of the Auditor Independence Rules,3235-AM63,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM63
SEC,Proposed Rule Stage,Listing Standards for Recovery of Erroneously Awarded Compensation,3235-AK99,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AK99
SEC,Proposed Rule Stage,"Modernization and Simplification of Disclosures Regarding Description of Business, Legal Proceedings and Risk Factors",3235-AL78,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AL78
SEC,Proposed Rule Stage,Guide 3 Bank Holding Company Disclosure,3235-AL79,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AL79
SEC,Proposed Rule Stage,Filing Fee Processing,3235-AL96,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AL96
SEC,Proposed Rule Stage,Disclosure of Payments by Resource Extraction Issuers,3235-AM06,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM06
SEC,Proposed Rule Stage,Guide 5 Real Estate Limited Partnerships and Form S-11,3235-AM17,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM17
SEC,Proposed Rule Stage,Accredited Investor Definition,3235-AM19,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM19
SEC,Proposed Rule Stage,Regulation Crowdfunding Amendments,3235-AM20,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM20
SEC,Proposed Rule Stage,Regulation A Amendments,3235-AM21,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM21
SEC,Proposed Rule Stage,Harmonization of Exempt Offerings,3235-AM27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM27
SEC,Proposed Rule Stage,Amendments to Rule 701/Form S-8,3235-AM38,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM38
SEC,Proposed Rule Stage,Earnings Releases/Quarterly Reports,3235-AM40,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM40
SEC,Proposed Rule Stage,"Modernization and Simplification of Disclosures Regarding MD&A, Selected Financial Data and Supplementary Financial Information",3235-AM48,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM48
SEC,Proposed Rule Stage,Rule 14a-8 Amendments,3235-AM49,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM49
SEC,Proposed Rule Stage,Rule 14a-2(b),3235-AM50,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM50
SEC,Proposed Rule Stage,Amendments to Form 13F Filer Threshold,3235-AM65,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM65
SEC,Proposed Rule Stage,Use of Derivatives by Registered Investment Companies and Business Development Companies,3235-AL60,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AL60
SEC,Proposed Rule Stage,Amendments to the Marketing Rules Under the Advisers Act,3235-AM08,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM08
SEC,Proposed Rule Stage,Amendments to the Custody Rules for Investment Advisers,3235-AM32,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM32
SEC,Proposed Rule Stage,Amendments to Procedures for Applications Under the Investment Company Act,3235-AM51,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM51
SEC,Proposed Rule Stage,Investment Company Summary Shareholder Report,3235-AM52,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM52
SEC,Proposed Rule Stage,Registration of Investment Advisers to Rural Business Investment Companies,3235-AM68,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM68
SEC,Proposed Rule Stage,"Prohibition Against Fraud, Manipulation, and Deception in Connection With Security-Based Swaps",3235-AK77,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AK77
SEC,Proposed Rule Stage,Transfer Agents,3235-AL55,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AL55
SEC,Proposed Rule Stage,"Broker-Dealer Reporting, Audit, and Notification Requirements",3235-AM46,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM46
SEC,Proposed Rule Stage,Initiation or Resumption of Quotations Without Specified Information,3235-AM54,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM54
SEC,Proposed Rule Stage,Recession of Effective-Upon-Filing Procedure for NMS Plan Fee Amendments,3235-AM56,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM56
SEC,Proposed Rule Stage,Amendments to NMS Plan for the Consolidated Audit Trail--Operational Transparency and Financial Accountability,3235-AM60,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM60
SEC,Proposed Rule Stage,Market Data Distribution and Market Access,3235-AM61,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM61
SEC,Proposed Rule Stage,Amendments to NMS Plan for the Consolidated Audit Trail-Data Security,3235-AM62,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM62
SEC,Final Rule Stage,Amendments to Financial Disclosures About Acquired Businesses,3235-AL77,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AL77
SEC,Final Rule Stage,Amendments to the Financial Disclosures for Registered Debt Security Offerings,3235-AM12,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM12
SEC,Final Rule Stage,Extending the Testing the Waters Provision to Non-Emerging Growth Companies,3235-AM23,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM23
SEC,Final Rule Stage,Accelerated Filer Definition,3235-AM41,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM41
SEC,Final Rule Stage,Exchange-Traded Funds,3235-AJ60,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AJ60
SEC,Final Rule Stage,Enhanced Disclosure for Separate Accounts Registered as Unit Investment Trusts and Offering Variable Insurance Products,3235-AK60,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AK60
SEC,Final Rule Stage,Fund of Funds Arrangements,3235-AM29,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM29
SEC,Final Rule Stage,"Offering Reform for Business Development Companies Under the Small Business Credit Availability Act and Closed-End Funds Under the Economic Growth, Regulatory Relief, and Consumer Protection Act",3235-AM31,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM31
SEC,Final Rule Stage,Reporting and Recordkeeping Requirements for Security-Based Swap Dealers and Major Security-Based Swap Participants,3235-AL45,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AL45
SEC,Final Rule Stage,"Definition of ""Covered Clearing Agency""",3235-AL48,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AL48
SEC,Final Rule Stage,Risk Mitigation Techniques,3235-AL83,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AL83
SEC,Final Rule Stage,"Prohibitions and Restrictions on Proprietary Trading and Certain Interests In, And Relationships With Hedge Funds and Private Equity Funds",3235-AM10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM10
SEC,Final Rule Stage,Amendments and Guidance Regarding Certain Title VII Cross-Border Rules,3235-AM13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM13
SEC,Final Rule Stage,Customer Margin Requirements for Security Futures,3235-AM55,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM55
SEC,Final Rule Stage,Amendments to the Commission's Rules of Practice,3235-AL98,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AL98
SEC,Final Rule Stage,Amendments to the Commission's Whistleblower Program Rules,3235-AM11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3235-AM11
SBA,Prerule Stage,8(a) Business Development,3245-AH19,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH19
SBA,Prerule Stage,Government Contracting Programs,3245-AH20,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH20
SBA,Prerule Stage,HUBZone Program,3245-AH21,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH21
SBA,Proposed Rule Stage,Small Business Development Center Program Revisions,3245-AE05,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AE05
SBA,Proposed Rule Stage,Immediate and Private Disaster Assistance Loan Programs,3245-AF99,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AF99
SBA,Proposed Rule Stage,"Small Business Size Standards: Educational Services; Health Care and Social Assistance; Arts, Entertainment and Recreation; Accommodation and Food Services; Other Services",3245-AG88,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG88
SBA,Proposed Rule Stage,"Small Business Size Standards: Agriculture, Forestry, Fishing and Hunting; Mining, Quarrying, and Oil and Gas Extraction; Utilities; Construction",3245-AG89,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG89
SBA,Proposed Rule Stage,Small Business Size Standards: Transportation and Warehousing; Information; Finance and Insurance; Real Estate and Rental and Leasing,3245-AG90,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG90
SBA,Proposed Rule Stage,"Small Business Size Standards: Professional, Scientific and Technical Services; Management of Companies and Enterprises; Administrative and Support, Waste Management and Remediation Services",3245-AG91,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG91
SBA,Proposed Rule Stage,Regulatory Reform Initiative: Small Business Investment Company--Regulatory Streamlining,3245-AG93,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG93
SBA,Proposed Rule Stage,Consolidation of Mentor Protege Programs and Other Government Contracting Amendments,3245-AG94,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG94
SBA,Proposed Rule Stage,"Export Express, Export Working Capital, and International Trade Loan Programs",3245-AG95,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG95
SBA,Proposed Rule Stage,"Regulatory Reform Initiative: Streamlining and Modernizing the 7(a), Microloan, and 504 Loan Programs to Reduce Unnecessary Regulatory Burden",3245-AG98,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG98
SBA,Proposed Rule Stage,Regulatory Reform Initiative: Rules of Procedure Governing Cases Before the Office of Hearings and Appeals,3245-AH01,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH01
SBA,Proposed Rule Stage,SBA Supervised Lenders Application Process,3245-AH04,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH04
SBA,Proposed Rule Stage,HUBZone Program Provisions for Governor-Designated Covered Areas,3245-AH06,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH06
SBA,Proposed Rule Stage,SCORE Program,3245-AH07,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH07
SBA,Proposed Rule Stage,Regulatory Reform Initiative: Streamlining Surety Bond Guarantee Program,3245-AH08,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH08
SBA,Proposed Rule Stage,Small Business Size Standards: Manufacturing and Industries With Employee Based Size Standards in Other Sectors Except Wholesale Trade and Retail Trade,3245-AH09,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH09
SBA,Proposed Rule Stage,Small Business Size Standards: Wholesale Trade and Retail Trade,3245-AH10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH10
SBA,Proposed Rule Stage,Regulatory Reform Initiative: Program for Investment in Microentrepreneurs (PRIME),3245-AH11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH11
SBA,Proposed Rule Stage,Regulatory Reform Initiative: Government Contracting Programs,3245-AH14,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH14
SBA,Proposed Rule Stage,Regulatory Reform Initiative: Intermediary Lending Pilot Program,3245-AH15,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH15
SBA,Proposed Rule Stage,Use of Federal Surplus Property for Veteran Owned Small Businesses and Small Businesses in Disaster Areas and Puerto Rico,3245-AH18,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH18
SBA,Proposed Rule Stage,Small Business Investment Company---Regulatory Improvements and Modernization,3245-AH22,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH22
SBA,Final Rule Stage,Office of Women's Business Ownership: Women's Business Center Program,3245-AG02,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG02
SBA,Final Rule Stage,Small Business HUBZone Program and Government Contracting Programs,3245-AG38,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG38
SBA,Final Rule Stage,Small Business Timber Set-Aside Program,3245-AG69,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG69
SBA,Final Rule Stage,Express Loan Programs; Affiliation Standards,3245-AG74,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG74
SBA,Final Rule Stage,Women-Owned Small Business and Economically Disadvantaged Women-Owned Small Business--Certification,3245-AG75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG75
SBA,Final Rule Stage,"National Defense Authorization Acts of 2016 and 2017, RISE After Disaster Act of 2015, and Other Small Business Government Contracting Amendments",3245-AG86,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG86
SBA,Final Rule Stage,Streamlining and Modernizing Certified Development Company Program (504 Loan Program) Corporate Governance Requirements,3245-AG97,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AG97
SBA,Final Rule Stage,Implementation of the Small Business 7(a) Lending Oversight Reform Act of 2018,3245-AH05,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH05
SBA,Final Rule Stage,Regulatory Reform Initiative: Disaster Loan Program,3245-AH12,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH12
SBA,Final Rule Stage,Regulatory Reform Initiative: Small Disadvantaged Businesses,3245-AH13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH13
SBA,Final Rule Stage,Small Business Size Standards: Calculation of Annual Average Receipts,3245-AH16,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH16
SBA,Final Rule Stage,Small Business Size Standards: Adjustment of Monetary Based Size Standards for Inflation,3245-AH17,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH17
SBA,Final Rule Stage,Civil Monetary Penalties Inflation Adjustments,3245-AH24,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=3245-AH24
SSA,Proposed Rule Stage,Minimum Monthly Withholding Amount for Recovery of Title II Benefit Overpayments (3752P),0960-AH42,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0960-AH42
SSA,Proposed Rule Stage,Use of Electronic Payroll Data To Improve Program Administration,0960-AH88,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0960-AH88
SSA,Proposed Rule Stage,Administrative Rules For Non-Attorney Representatives and Claimant Representatives,0960-AI22,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0960-AI22
SSA,Proposed Rule Stage,Hearings Held by Administrative Appeals Judges of the Appeals Council,0960-AI25,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0960-AI25
SSA,Proposed Rule Stage,Rules Regarding the Frequency and Notice of Continuing Disability Reviews,0960-AI27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0960-AI27
SSA,Proposed Rule Stage,Privacy Act Exemption: Anti-Fraud Enterprise Solution (AFES),0960-AI31,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0960-AI31
SSA,Proposed Rule Stage,Advance Designation of Representative Payees,0960-AI33,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0960-AI33
SSA,Proposed Rule Stage,Revising Evaluation of Vocational Factors in the Disability Determination Process,0960-AI40,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0960-AI40
SSA,Proposed Rule Stage,Revised Medical Criteria for Evaluating Cardiovascular Disorders,0960-AI43,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201910&RIN=0960-AI43
